Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,89,7537,3329,2286,230,888,41,3320,12627,16,96
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS,89,7537,3329,2286,230,888,41,3320,12627,16,96
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account,10,605,336,193,23,104,5,165,706,0,5
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\App_Start,2,48,29,17,0,7,0,12,53,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Controllers,1,44,28,15,0,5,0,11,73,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Properties,1,36,15,3,0,5,0,16,118,0,0
