File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyCustomerDetailReport.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyCustomerSummary.aspx.cs,52,46,28,4,6,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyCustomerSummary.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlySalesRepReport.aspx.cs,64,54,32,5,10,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlySalesRepReport.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyTip.aspx.cs,65,62,36,6,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyTip.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Sales.aspx.cs,31,29,19,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Sales.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\SessionExpired.aspx.cs,17,15,9,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\SessionExpired.aspx.designer.cs,27,8,3,0,5,1,14,54,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Site.Master.cs,107,87,75,2,16,1,4,17,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Site.Master.designer.cs,313,38,35,0,37,1,238,886,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Site.Mobile.Master.cs,17,15,9,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Site.Mobile.Master.designer.cs,52,8,6,0,8,0,36,132,8,28
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\StatementList.aspx.cs,31,29,19,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\StatementList.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeClock.aspx.cs,34,32,20,3,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeClock.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeClockMaintenance.aspx.cs,58,49,33,3,9,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeClockMaintenance.aspx.designer.cs,196,25,22,0,24,1,147,548,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeLogin.aspx.cs,90,73,46,4,7,0,10,42,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeLogin.aspx.designer.cs,187,24,21,0,23,1,140,522,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimePassword.aspx.cs,92,74,47,4,8,0,10,42,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimePassword.aspx.designer.cs,430,51,48,0,50,1,329,1224,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeSet.aspx.cs,852,781,576,94,48,0,23,83,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeSet.aspx.designer.cs,979,112,109,0,111,1,756,2810,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeSheet.aspx.cs,58,49,29,5,9,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeSheet.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeSummary.aspx.cs,56,49,29,5,7,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\TimeSummary.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Vehicles.aspx.cs,32,29,19,2,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Vehicles.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\ViewSwitcher.ascx.cs,43,33,26,1,6,0,4,31,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\ViewSwitcher.ascx.designer.cs,16,4,2,0,4,0,8,28,8,28
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Washes.aspx.cs,33,32,20,3,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Washes.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\WeeklySales.aspx.cs,34,31,21,2,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\WeeklySales.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\Login.aspx.cs,24,22,14,1,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\Login.aspx.designer.cs,36,9,4,0,6,1,21,80,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\Manage.aspx.cs,104,78,44,7,19,0,7,62,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\Manage.aspx.designer.cs,85,14,9,0,15,1,56,210,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\OpenAuthProviders.ascx.cs,52,39,23,4,13,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\OpenAuthProviders.ascx.designer.cs,28,8,3,0,6,1,14,54,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\Register.aspx.cs,31,28,18,1,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\Register.aspx.designer.cs,36,9,4,0,6,1,21,80,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\RegisterExternalLogin.aspx.cs,151,118,68,10,22,0,11,88,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Account\RegisterExternalLogin.aspx.designer.cs,58,11,6,0,12,1,35,132,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\App_Start\AuthConfig.cs,31,14,8,0,5,0,12,53,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\App_Start\RouteConfig.cs,17,15,9,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Controllers\ReportsController.cs,44,28,15,0,5,0,11,73,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Properties\AssemblyInfo.cs,36,15,3,0,5,0,16,118,0,0
