Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,322,13436,11680,2543,880,1295,153,461,2646,7,35
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU,322,13436,11680,2543,880,1295,153,461,2646,7,35
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary,28,5412,4378,2534,875,576,150,458,2630,7,32
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\_vti_cnf,14,210,196,0,0,14,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_vti_cnf,279,4675,4396,0,0,279,0,0,0,0,0
