Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,20,1868,1332,1072,5,72,1,464,850,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintTicket,20,1868,1332,1072,5,72,1,464,850,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintTicket\MPOSReportLibrary,16,1666,1202,993,2,42,1,422,572,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintTicket\MPOSReportLibrary\Properties,2,72,38,12,2,12,1,22,126,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintTicket\PrintTicket,2,153,105,70,3,23,0,25,158,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintTicket\PrintTicket\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintTicket\Reports,2,49,25,9,0,7,0,17,120,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintTicket\Reports\Properties,1,37,15,3,0,5,0,17,120,0,0
