Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,9,935,647,502,5,46,1,242,563,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec,9,935,647,502,5,46,1,242,563,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\MPOSLibrary,4,693,498,412,3,16,1,179,223,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\MPOSLibrary\Properties,2,83,48,15,3,13,1,22,126,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\PrintRec,2,140,88,57,2,22,0,30,193,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\PrintRec\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\ReportLibrary1,3,102,61,33,0,8,0,33,147,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\ReportLibrary1\Properties,1,34,15,3,0,5,0,14,96,0,0
