File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\MPOSLibrary\Receipt.cs,27,16,10,0,2,0,9,23,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\MPOSLibrary\Receipt.designer.cs,583,434,387,0,1,0,148,74,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\MPOSLibrary\Properties\AssemblyInfo.cs,34,15,3,0,5,0,14,96,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\MPOSLibrary\Properties\Settings.Designer.cs,49,33,12,3,8,1,8,30,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\PrintRec\Program.cs,103,73,54,2,17,0,13,73,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\PrintRec\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\ReportLibrary1\Recept.cs,27,16,10,0,2,0,9,23,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\ReportLibrary1\Recept.Designer.cs,41,30,20,0,1,0,10,28,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS PrintRec\ReportLibrary1\Properties\AssemblyInfo.cs,34,15,3,0,5,0,14,96,0,0
