File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\ViewSwitcher.ascx.cs,43,33,26,1,6,0,4,31,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\ViewSwitcher.ascx.designer.cs,16,4,2,0,4,0,8,28,8,28
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Washes.aspx.cs,33,32,20,3,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Washes.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\WeeklySales.aspx.cs,34,31,21,2,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\WeeklySales.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\About.aspx,34,29,0,0,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\CashDrawerSetUp.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Clients.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\CloseOutRegister.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\CorpClientInvoiceList.aspx,14,13,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\CustomerEmailer.aspx,14,13,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\DailyTipReport.aspx,21,16,0,0,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Default.aspx,11,8,0,0,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Details.aspx,14,12,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Employees.aspx,14,12,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\EndOfDay.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\EODReport.aspx,21,18,0,0,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\EODScreen.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\GiftCards.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\HourlyWashReport.aspx,21,18,0,0,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\IPOD_Login.aspx,36,33,1,0,3,0,0,0,0,0
