Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\Microsoft.ApplicationInsights.JavaScript.0.15.0-build41087,2,2415,2414,2748,302,1,53,0,106,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\Microsoft.ApplicationInsights.JavaScript.0.15.0-build41087\content,2,2415,2414,2748,302,1,53,0,106,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\Microsoft.ApplicationInsights.JavaScript.0.15.0-build41087\content\scripts,2,2415,2414,2748,302,1,53,0,106,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\Modernizr.2.6.2,1,1394,606,482,136,286,6,502,3176,22,141
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\Modernizr.2.6.2\Content,1,1394,606,482,136,286,6,502,3176,22,141
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\Modernizr.2.6.2\Content\Scripts,1,1394,606,482,136,286,6,502,3176,22,141
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.1.8.2,4,18949,10781,7991,2344,2386,34,5782,44034,14,207
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.1.8.2\Content,3,16454,10203,7690,2342,2377,34,3874,26919,14,207
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.1.8.2\Content\Scripts,3,16454,10203,7690,2342,2377,34,3874,26919,14,207
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.1.8.2\Tools,1,2495,578,301,2,9,0,1908,17115,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.UI.Combined.1.8.24,2,11383,8808,7305,1521,1677,357,898,8844,8,100
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.UI.Combined.1.8.24\Content,2,11383,8808,7305,1521,1677,357,898,8844,8,100
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.UI.Combined.1.8.24\Content\Scripts,2,11383,8808,7305,1521,1677,357,898,8844,8,100
